# Target corrupted window: W002
Neighbor context C_t = ['W001', 'W002', 'W003']
Stage-1 inconsistency clues for target: corruption_score=7.328671434852988, unsupported_flow_count=2, unsupported_external_flow_count=1, unsupported_metric_clue_count=0, unsupported_metric_zsum=0.0

Important instruction: recover missing audit events only for the TARGET window, not for neighboring windows.
Neighboring windows are provided only for temporal continuity.

## Window W001

### Observed corrupted audit log snippets
- B000103 | 2026-01-20 09:10:08 | W001 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- BF000081 | 2026-01-20 09:20:17~2026-01-20 09:20:23 | W002 | mon-srv-01 10.20.1.41:44512 -> 10.20.1.11:6514 | service=SYSLOG pattern=log_collection | bytes_out=1956 bytes_in=7136 | related_audit=B000199
- BF000085 | 2026-01-20 09:20:27~2026-01-20 09:20:39 | W002 | ws-finance-01 10.20.1.11:52283 -> 192.0.2.40:993 | service=IMAPS pattern=mail_sync | bytes_out=2250 bytes_in=24797 | related_audit=B000204
- BF000082 | 2026-01-20 09:20:32~2026-01-20 09:20:36 | W002 | mon-srv-01 10.20.1.41:57762 -> 10.20.1.12:6514 | service=SYSLOG pattern=log_collection | bytes_out=1310 bytes_in=6776 | related_audit=B000200
- BF000084 | 2026-01-20 09:20:47~2026-01-20 09:20:59 | W002 | ws-finance-01 10.20.1.11:42712 -> 10.20.1.21:445 | service=SMB pattern=file_server_access | bytes_out=6839 bytes_in=336349 | related_audit=B000202
- BF000083 | 2026-01-20 09:20:54~2026-01-20 09:21:01 | W002 | mon-srv-01 10.20.1.41:44086 -> 10.20.1.31:6514 | service=SYSLOG pattern=log_collection | bytes_out=1946 bytes_in=15859 | related_audit=B000201
- BF000087 | 2026-01-20 09:21:41~2026-01-20 09:22:07 | W002 | ws-dev-02 10.20.1.12:46309 -> 10.20.1.31:22 | service=SSH pattern=dev_ssh | bytes_out=35369 bytes_in=16980 | related_audit=B000213
- BF000086 | 2026-01-20 09:21:47~2026-01-20 09:22:00 | W002 | ws-finance-01 10.20.1.11:49296 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=3823 bytes_in=28388 | related_audit=B000211
- BF000090 | 2026-01-20 09:22:07~2026-01-20 09:22:11 | W002 | mon-srv-01 10.20.1.41:59587 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1649 bytes_in=7159 | related_audit=B000221
- BF000091 | 2026-01-20 09:22:20~2026-01-20 09:22:24 | W002 | mon-srv-01 10.20.1.41:46878 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=803 bytes_in=4481 | related_audit=B000222
- BF000089 | 2026-01-20 09:22:22~2026-01-20 09:22:26 | W002 | mon-srv-01 10.20.1.41:55783 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1379 bytes_in=8926 | related_audit=B000220
- BF000088 | 2026-01-20 09:22:22~2026-01-20 09:22:28 | W002 | mon-srv-01 10.20.1.41:57601 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1509 bytes_in=8286 | related_audit=B000219
- BF000092 | 2026-01-20 09:23:39~2026-01-20 09:23:48 | W002 | ws-dev-02 10.20.1.12:47530 -> 192.0.2.30:443 | service=HTTPS pattern=dev_repo_access | bytes_out=2988 bytes_in=27364 | related_audit=B000228
- BF000095 | 2026-01-20 09:24:08~2026-01-20 09:24:11 | W002 | mon-srv-01 10.20.1.41:54879 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=965 bytes_in=3152 | related_audit=B000234
- BF000093 | 2026-01-20 09:24:08~2026-01-20 09:24:12 | W002 | mon-srv-01 10.20.1.41:56925 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1702 bytes_in=4137 | related_audit=B000232
- BF000094 | 2026-01-20 09:24:08~2026-01-20 09:24:11 | W002 | mon-srv-01 10.20.1.41:56801 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1209 bytes_in=4643 | related_audit=B000233
- F0001 | 2026-01-20 09:24:17~2026-01-20 09:24:55 | W002 | ws-finance-01 10.20.1.11:49152 -> 198.51.100.23:443 | service=HTTPS pattern=payload_download | bytes_out=1840 bytes_in=91240 | related_audit=E0001,E0002
- BF000096 | 2026-01-20 09:24:17~2026-01-20 09:24:20 | W002 | mon-srv-01 10.20.1.41:53696 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1249 bytes_in=7700 | related_audit=B000235
- BF000097 | 2026-01-20 09:24:43~2026-01-20 09:24:54 | W002 | ws-finance-01 10.20.1.11:59068 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=4289 bytes_in=20095 | related_audit=B000237
- BF000101 | 2026-01-20 09:25:08~2026-01-20 09:25:22 | W002 | ws-finance-01 10.20.1.11:52544 -> 192.0.2.40:993 | service=IMAPS pattern=mail_sync | bytes_out=2947 bytes_in=20947 | related_audit=B000250
- BF000100 | 2026-01-20 09:25:28~2026-01-20 09:25:36 | W002 | mon-srv-01 10.20.1.41:54155 -> 10.20.1.31:6514 | service=SYSLOG pattern=log_collection | bytes_out=1282 bytes_in=13919 | related_audit=B000249
- BF000099 | 2026-01-20 09:25:45~2026-01-20 09:25:53 | W002 | mon-srv-01 10.20.1.41:51760 -> 10.20.1.12:6514 | service=SYSLOG pattern=log_collection | bytes_out=1457 bytes_in=6436 | related_audit=B000248
- BF000098 | 2026-01-20 09:25:50~2026-01-20 09:25:57 | W002 | mon-srv-01 10.20.1.41:60653 -> 10.20.1.11:6514 | service=SYSLOG pattern=log_collection | bytes_out=1296 bytes_in=15944 | related_audit=B000247
- BF000104 | 2026-01-20 09:26:05~2026-01-20 09:26:11 | W002 | mon-srv-01 10.20.1.41:47972 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=877 bytes_in=4763 | related_audit=B000257
- BF000102 | 2026-01-20 09:26:06~2026-01-20 09:26:10 | W002 | mon-srv-01 10.20.1.41:48883 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=941 bytes_in=7000 | related_audit=B000255
- BF000103 | 2026-01-20 09:26:07~2026-01-20 09:26:11 | W002 | mon-srv-01 10.20.1.41:53850 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1024 bytes_in=8589 | related_audit=B000256
- BF000106 | 2026-01-20 09:26:17~2026-01-20 09:26:51 | W002 | ws-dev-02 10.20.1.12:54700 -> 10.20.1.31:22 | service=SSH pattern=dev_ssh | bytes_out=37257 bytes_in=52318 | related_audit=B000260
- BF000105 | 2026-01-20 09:26:20~2026-01-20 09:26:26 | W002 | mon-srv-01 10.20.1.41:49013 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1185 bytes_in=7091 | related_audit=B000258
- BF000107 | 2026-01-20 09:27:12~2026-01-20 09:27:27 | W002 | ws-finance-01 10.20.1.11:44168 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=3720 bytes_in=51034 | related_audit=B000267
- BF000108 | 2026-01-20 09:28:02~2026-01-20 09:28:04 | W002 | mon-srv-01 10.20.1.41:49305 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1571 bytes_in=6839 | related_audit=B000273
- BF000109 | 2026-01-20 09:28:03~2026-01-20 09:28:07 | W002 | mon-srv-01 10.20.1.41:56359 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=959 bytes_in=6950 | related_audit=B000274
- BF000111 | 2026-01-20 09:28:04~2026-01-20 09:28:06 | W002 | mon-srv-01 10.20.1.41:47611 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1136 bytes_in=4574 | related_audit=B000276
- BF000110 | 2026-01-20 09:28:11~2026-01-20 09:28:13 | W002 | mon-srv-01 10.20.1.41:53277 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1626 bytes_in=3302 | related_audit=B000275

### Host metric samples
- M000105 | 2026-01-20 09:20:00 | W002 | host=mon-srv-01 | cpu=26.18 mem=63.28 disk_read=110735 disk_write=265611 net_in=15193 net_out=9929 proc_count=119 open_files=429 | hint=prometheus | note=normal baseline
- M000102 | 2026-01-20 09:20:00 | W002 | host=ws-dev-02 | cpu=23.33 mem=51.44 disk_read=123498 disk_write=90814 net_in=7164 net_out=6376 proc_count=122 open_files=377 | hint=dev-shell | note=normal baseline
- M000110 | 2026-01-20 09:21:00 | W002 | host=mon-srv-01 | cpu=21.62 mem=62.2 disk_read=124534 disk_write=167469 net_in=9570 net_out=11686 proc_count=113 open_files=410 | hint=prometheus | note=normal baseline
- M000109 | 2026-01-20 09:21:00 | W002 | host=portal-web-01 | cpu=21.74 mem=57.31 disk_read=105068 disk_write=120086 net_in=7249 net_out=11751 proc_count=105 open_files=386 | hint=nginx | note=normal baseline
- M000107 | 2026-01-20 09:21:00 | W002 | host=ws-dev-02 | cpu=26.91 mem=51.04 disk_read=114576 disk_write=140631 net_in=7151 net_out=8186 proc_count=127 open_files=393 | hint=dev-shell | note=normal baseline
- M000115 | 2026-01-20 09:22:00 | W002 | host=mon-srv-01 | cpu=24.77 mem=62.69 disk_read=165383 disk_write=204967 net_in=11148 net_out=11518 proc_count=116 open_files=398 | hint=prometheus | note=normal baseline
- M000114 | 2026-01-20 09:22:00 | W002 | host=portal-web-01 | cpu=22.68 mem=56.51 disk_read=100602 disk_write=102715 net_in=8131 net_out=6703 proc_count=104 open_files=372 | hint=nginx | note=normal baseline
- M000112 | 2026-01-20 09:22:00 | W002 | host=ws-dev-02 | cpu=21.93 mem=50.59 disk_read=122480 disk_write=79017 net_in=4788 net_out=6410 proc_count=126 open_files=367 | hint=dev-shell | note=normal baseline
- M000120 | 2026-01-20 09:23:00 | W002 | host=mon-srv-01 | cpu=23.51 mem=61.52 disk_read=129730 disk_write=201422 net_in=8214 net_out=6880 proc_count=119 open_files=395 | hint=prometheus | note=normal baseline
- M000117 | 2026-01-20 09:23:00 | W002 | host=ws-dev-02 | cpu=26.14 mem=51.24 disk_read=127678 disk_write=122750 net_in=5748 net_out=3977 proc_count=124 open_files=373 | hint=dev-shell | note=normal baseline
- M000125 | 2026-01-20 09:24:00 | W002 | host=mon-srv-01 | cpu=24.26 mem=63.65 disk_read=126728 disk_write=225105 net_in=14250 net_out=8901 proc_count=118 open_files=435 | hint=prometheus | note=normal baseline
- M000124 | 2026-01-20 09:24:00 | W002 | host=portal-web-01 | cpu=21.74 mem=55.27 disk_read=86075 disk_write=93591 net_in=11339 net_out=8222 proc_count=99 open_files=362 | hint=nginx | note=normal baseline
- M000122 | 2026-01-20 09:24:00 | W002 | host=ws-dev-02 | cpu=23.37 mem=53.26 disk_read=84635 disk_write=79996 net_in=5040 net_out=5748 proc_count=124 open_files=409 | hint=dev-shell | note=normal baseline
- M000121 | 2026-01-20 09:24:00 | W002 | host=ws-finance-01 | cpu=31.2 mem=47.5 disk_read=128000 disk_write=310000 net_in=18000 net_out=2233 proc_count=119 open_files=346 | hint=firefox | note=pre-download activity
- M000128 | 2026-01-20 09:25:00 | W002 | host=file-srv-01 | cpu=21.68 mem=44.1 disk_read=173046 disk_write=56426 net_in=6666 net_out=12274 proc_count=87 open_files=454 | hint=smbd | note=normal baseline
- M000130 | 2026-01-20 09:25:00 | W002 | host=mon-srv-01 | cpu=21.18 mem=61.55 disk_read=138018 disk_write=184194 net_in=9868 net_out=11524 proc_count=118 open_files=425 | hint=prometheus | note=normal baseline
- M000129 | 2026-01-20 09:25:00 | W002 | host=portal-web-01 | cpu=24.06 mem=58.16 disk_read=124412 disk_write=73063 net_in=12891 net_out=7351 proc_count=99 open_files=360 | hint=nginx | note=normal baseline
- M000127 | 2026-01-20 09:25:00 | W002 | host=ws-dev-02 | cpu=22.27 mem=52.07 disk_read=93543 disk_write=101930 net_in=5515 net_out=4185 proc_count=124 open_files=364 | hint=dev-shell | note=normal baseline
- M000126 | 2026-01-20 09:25:00 | W002 | host=ws-finance-01 | cpu=64.8 mem=49.2 disk_read=244000 disk_write=1420000 net_in=93400 net_out=3200 proc_count=126 open_files=388 | hint=update-check | note=payload download and write burst
- M000135 | 2026-01-20 09:26:00 | W002 | host=mon-srv-01 | cpu=26.18 mem=61.24 disk_read=137929 disk_write=197826 net_in=13362 net_out=8802 proc_count=117 open_files=395 | hint=prometheus | note=normal baseline
- M000132 | 2026-01-20 09:26:00 | W002 | host=ws-dev-02 | cpu=26.41 mem=50.66 disk_read=153677 disk_write=142205 net_in=6589 net_out=3972 proc_count=128 open_files=342 | hint=dev-shell | note=normal baseline
- M000131 | 2026-01-20 09:26:00 | W002 | host=ws-finance-01 | cpu=58.1 mem=49.0 disk_read=196000 disk_write=940000 net_in=12600 net_out=5004 proc_count=127 open_files=376 | hint=update-check | note=short process and disk burst
- M000140 | 2026-01-20 09:27:00 | W002 | host=mon-srv-01 | cpu=27.62 mem=62.96 disk_read=107955 disk_write=191959 net_in=12791 net_out=8961 proc_count=117 open_files=408 | hint=prometheus | note=normal baseline
- M000139 | 2026-01-20 09:27:00 | W002 | host=portal-web-01 | cpu=21.78 mem=54.6 disk_read=87173 disk_write=122021 net_in=9363 net_out=6524 proc_count=96 open_files=346 | hint=nginx | note=normal baseline
- M000137 | 2026-01-20 09:27:00 | W002 | host=ws-dev-02 | cpu=23.21 mem=54.7 disk_read=92056 disk_write=95835 net_in=3691 net_out=5468 proc_count=126 open_files=337 | hint=dev-shell | note=normal baseline
- M000145 | 2026-01-20 09:28:00 | W002 | host=mon-srv-01 | cpu=23.54 mem=62.52 disk_read=131178 disk_write=157593 net_in=22021 net_out=7763 proc_count=118 open_files=411 | hint=prometheus | note=normal baseline
- M000144 | 2026-01-20 09:28:00 | W002 | host=portal-web-01 | cpu=20.37 mem=55.8 disk_read=94825 disk_write=111003 net_in=7954 net_out=9549 proc_count=101 open_files=367 | hint=nginx | note=normal baseline
- M000142 | 2026-01-20 09:28:00 | W002 | host=ws-dev-02 | cpu=28.0 mem=52.17 disk_read=115064 disk_write=104378 net_in=6916 net_out=5148 proc_count=124 open_files=384 | hint=dev-shell | note=normal baseline
- M000150 | 2026-01-20 09:29:00 | W002 | host=mon-srv-01 | cpu=27.39 mem=60.43 disk_read=109901 disk_write=183884 net_in=15318 net_out=12277 proc_count=115 open_files=420 | hint=prometheus | note=normal baseline
- M000147 | 2026-01-20 09:29:00 | W002 | host=ws-dev-02 | cpu=20.61 mem=51.46 disk_read=136947 disk_write=99593 net_in=6634 net_out=4632 proc_count=122 open_files=349 | hint=dev-shell | note=normal baseline

### Host metric clue events
- ME0001 | 2026-01-20 09:24:00~2026-01-20 09:27:00 | W002 | host=ws-finance-01 event_type=download_and_disk_burst metric=net_in_bytes+disk_write_bytes z=5.6 | hint=firefox/update-check | desc=large inbound transfer followed by local payload write

---

## Window W003

### Observed corrupted audit log snippets
- B000291 | 2026-01-20 09:30:05 | W003 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B000290 | 2026-01-20 09:30:07 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000289 | 2026-01-20 09:30:07 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000297 | 2026-01-20 09:30:11 | W003 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B000288 | 2026-01-20 09:30:12 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000298 | 2026-01-20 09:30:13 | W003 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B000287 | 2026-01-20 09:30:15 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000292 | 2026-01-20 09:30:17 | W003 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B000304 | 2026-01-20 09:30:20 | W003 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000299 | 2026-01-20 09:30:25 | W003 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --connect--> 192.0.2.30:443 (socket) | cmd=connect | args=normal package/source repository access
- B000293 | 2026-01-20 09:30:26 | W003 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B000300 | 2026-01-20 09:30:28 | W003 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --write--> /var/lib/docker/tmp/build-context.tar (file) | cmd=write | args=normal development file/cache update
- B000294 | 2026-01-20 09:30:32 | W003 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B000295 | 2026-01-20 09:30:35 | W003 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B000296 | 2026-01-20 09:30:36 | W003 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B000307 | 2026-01-20 09:31:22 | W003 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B000306 | 2026-01-20 09:31:22 | W003 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B004807 | 2026-01-20 09:31:25 | W003 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B004408 | 2026-01-20 09:31:32 | W003 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B000311 | 2026-01-20 09:31:35 | W003 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B005554 | 2026-01-20 09:31:44 | W003 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B000309 | 2026-01-20 09:31:54 | W003 | host=ws-dev-02 user=u_dev process=python3 | python3:2250@ws-dev-02 --execute--> /home/u_dev/src/portal/app/config.yaml (file) | cmd=read | args=normal local development/test activity
- B000315 | 2026-01-20 09:32:05 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000312 | 2026-01-20 09:32:10 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000313 | 2026-01-20 09:32:10 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000314 | 2026-01-20 09:32:12 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000321 | 2026-01-20 09:32:28 | W003 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000316 | 2026-01-20 09:32:50 | W003 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B004021 | 2026-01-20 09:32:52 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B000329 | 2026-01-20 09:33:02 | W003 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000326 | 2026-01-20 09:33:04 | W003 | host=file-srv-01 user=svc_backup process=backup-agent | backup-agent:1230@file-srv-01 --connect--> 10.20.1.41:873 (socket) | cmd=connect | args=backup metadata sync to monitoring server
- B000322 | 2026-01-20 09:33:23 | W003 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B000325 | 2026-01-20 09:33:32 | W003 | host=ws-dev-02 user=u_dev process=python3 | python3:2250@ws-dev-02 --execute--> /home/u_dev/src/portal/tests/test_api.py (file) | cmd=execute | args=normal local development/test activity
- B004543 | 2026-01-20 09:33:40 | W003 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B004926 | 2026-01-20 09:33:43 | W003 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B004793 | 2026-01-20 09:33:48 | W003 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B000323 | 2026-01-20 09:33:51 | W003 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B000324 | 2026-01-20 09:33:52 | W003 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B000331 | 2026-01-20 09:34:02 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000338 | 2026-01-20 09:34:03 | W003 | host=file-srv-01 user=svc_backup process=smbd | smbd:1201@file-srv-01 --write--> /srv/share/finance/vendor_invoice.pdf.lock (file) | cmd=write | args=benign lock/update file created by share service
- B000333 | 2026-01-20 09:34:07 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000334 | 2026-01-20 09:34:09 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B005031 | 2026-01-20 09:34:14 | W003 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B000332 | 2026-01-20 09:34:18 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B003886 | 2026-01-20 09:34:19 | W003 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B000335 | 2026-01-20 09:34:22 | W003 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B000340 | 2026-01-20 09:34:45 | W003 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000343 | 2026-01-20 09:35:08 | W003 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B000345 | 2026-01-20 09:35:12 | W003 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B000346 | 2026-01-20 09:35:14 | W003 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B000348 | 2026-01-20 09:35:40 | W003 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000341 | 2026-01-20 09:35:47 | W003 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B000342 | 2026-01-20 09:35:48 | W003 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B000344 | 2026-01-20 09:35:51 | W003 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B000349 | 2026-01-20 09:36:03 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000350 | 2026-01-20 09:36:10 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- E0007 | 2026-01-20 09:36:10 | W003 | host=ws-finance-01 user=u_fin process=update-check | update-check:2440@ws-finance-01 --read--> /home/u_fin/.ssh/config (file) | cmd=read | args=collect ssh configuration
- B000352 | 2026-01-20 09:36:11 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000353 | 2026-01-20 09:36:16 | W003 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B000351 | 2026-01-20 09:36:16 | W003 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
